"Sample","Taxon","Rank","Genus","Family","Order","n"
"18","Mertensia sp.","Genus","Mertensia","Boraginaceae","Boraginales",111102
"18","Mertensia fusiformis","Species","Mertensia","Boraginaceae","Boraginales",99225
"18","Vaccinium sp.","Genus","Vaccinium","Ericaceae","Ericales",92927
"18","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",74354
"18","Salix sp.","Species","Populus","Salicaceae","Malpighiales",68013
"18","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",61582
"18","Mertensia ciliata","Species","Mertensia","Boraginaceae","Boraginales",35248
"18","Cynoglossum officinale","Species","Cynoglossum","Boraginaceae","Boraginales",24781
"18","Lupinus sp.","Genus","Lupinus","Fabaceae","Fabales",22340
"18","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",19631
"19","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",122988
"19","Hydrophyllum capitatum","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",26393
"19","Hydrophyllum fendleri","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",11279
"19","Nemophila breviflora","Species","Nemophila","Hydrophyllaceae","Boraginales",1886
"19","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",1625
"19","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",1452
"19","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",1393
"19","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",1200
"19","Erigeron sp.","Genus","Erigeron","Asteraceae","Asterales",873
"19","Parnassia fimbriata","Species","Parnassia","Celastraceae","Celastrales",772
"20","Mertensia ciliata","Species","Mertensia","Boraginaceae","Boraginales",23226
"20","Mertensia sp.","Genus","Mertensia","Boraginaceae","Boraginales",22285
"20","Mertensia fusiformis","Species","Mertensia","Boraginaceae","Boraginales",21079
"20","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",5271
"20","Hydrophyllum fendleri","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",4838
"20","Parnassia fimbriata","Species","Parnassia","Celastraceae","Celastrales",3708
"20","Erigeron sp.","Genus","Erigeron","Asteraceae","Asterales",1654
"20","Cynoglossum officinale","Species","Cynoglossum","Boraginaceae","Boraginales",1483
"20","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",1464
"20","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",1032
"21","Hydrophyllum fendleri","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",27572
"21","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",8434
"21","Parnassia fimbriata","Species","Parnassia","Celastraceae","Celastrales",1559
"21","Hydrophyllum capitatum","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",1423
"21","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",571
"21","Mertensia sp.","Genus","Mertensia","Boraginaceae","Boraginales",392
"21","Nemophila breviflora","Species","Nemophila","Hydrophyllaceae","Boraginales",378
"21","Taraxacum campylodes","Species","Taraxacum","Asteraceae","Asterales",365
"21","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",354
"21","Mertensia fusiformis","Species","Mertensia","Boraginaceae","Boraginales",275
"22","Parnassia fimbriata","Species","Parnassia","Celastraceae","Celastrales",6
"22","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",5
"22","Hypericum scouleri","Species","Hypericum","Hypericaceae","Malpighiales",5
"22","Mertensia sp.","Genus","Mertensia","Boraginaceae","Boraginales",4
"22","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",4
"22","Mertensia ciliata","Species","Mertensia","Boraginaceae","Boraginales",3
"22","Mertensia fusiformis","Species","Mertensia","Boraginaceae","Boraginales",3
"22","Hydrophyllum fendleri","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",3
